TOA,TOB,FROMA,FROMB,DESCRIPTION
Parks Hall ,Main Entrance,Parking Lot 19G,N/A,"If you are exiting the parking lot and are on the sidewalk. Square off so that the hedges are behind you and you are facing the parking lot. Turn 90 to the right and head straight following the pathway which will lead you between two hedges. Passing these hedges, you will be facing Parks Hall. Turn 90 degrees to the left and head straight to reach metal railings and follow these rails until they end. You will be face to face with a T intersection, turn 90 degrees right to follow the brick up sloping pathway. You will reach another up sloping pathway with rails dividing the pathway and stairs. Using the rails as a guide, continue forward. When the rails end, continue straight ahead for about 10 meters. Turn 90 degrees to the right and Park Hall entrance will be straight ahead"
Parks Hall ,Back Entrance,Bus Stop (Fairhaven),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop and Bill Mcdonald Way behind you. Turn 90 degrees to the left and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile.  Cross straight ahead when safe and when you reach a second warning tile, head forward angling to the left to reach a pathway between two grass patches. Continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the right of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left and bring you to a two way interaction. Take the right turning pathway with rails and continue forward until the railing ends. Continue forward for about 7 meters and the entrance to Parks Hall will be to your left and between two concrete walls."
Parks Hall ,Back Entrance,Bus Stop (Downtown),N/A,"If you are exiting the bus, you should come face to face with a roofed bus stop. Turn 90 degrees to the right and head straight towards the intersection of Bill Mcdonald and College way. You will reach the intersection when you feel the sidewalk slopes down and a warning tile. Cross straight ahead when safe and continue straight for 0.15 miles or 238 meters, passing by Wade King Center and the outdoor track. You will reach an uncontrolled intersection (no indicator), cross when safe, and continue on a new brick pathway walking to the right of the pathway to follow the edge of the pathway. Follow the edge of the pathway which should curve left and bring you to a two way interaction. Take the right turning pathway with rails and continue forward until the railing ends. Continue forward for about 7 meters and the entrance to Parks Hall will be to your left and between two concrete walls."
Parks Hall ,Back Entrance,Parking Lot 19G,N/A,"If you are exiting the parking lot and are on the sidewalk. Square off so that the hedges are behind you and you are facing the parking lot. Turn 90 to the right and head straight following the pathway which will lead you between two hedges. Passing these hedges, you will be facing Parks Hall. Turn 90 degrees left and head straight for 5 meters and turn 90 degrees right. Head forward to reach the entrance to Parks hall. The button for accessibility will be to the right on you on a concrete wall."
Bus Stop (Fairhaven),N/A,Environmental Science Building Ground Floor Entrance,N/A,Not Available
Bus Stop (Downtown),N/A,Environmental Science Building Ground Floor Entrance,N/A,Not Available
Parking Lot 19G,N/A,Environmental Science Building Ground Floor Entrance,N/A,Not Available
Environmental Science Building Ground Floor Entrance,N/A,Bus Stop (Fairhaven),N/A,Not Available
Environmental Science Building Ground Floor Entrance,N/A,Bus Stop (Downtown),N/A,Not Available
Environmental Science Building Ground Floor Entrance,N/A,Parking Lot 19G,N/A,Not Available
Bus Stop (Fairhaven),N/A,Environmental Science Building First Floor Entrance,N/A,Not Available
Bus Stop (Downtown),N/A,Environmental Science Building First Floor Entrance,N/A,Not Available
Parking Lot 19G,N/A,Environmental Science Building First Floor Entrance,N/A,Not Available
Environmental Science Building First Floor Entrance,N/A,Bus Stop (Fairhaven),N/A,Not Available
Environmental Science Building First Floor Entrance,N/A,Bus Stop (Downtown),N/A,Not Available
Environmental Science Building First Floor Entrance,N/A,Parking Lot 19G,N/A,Not Available
Bus Stop (Fairhaven),N/A,Wade King Center,N/A,Not Available
Bus Stop (Downtown),N/A,Wade King Center,N/A,Not Available
Parking Lot 19G,N/A,Wade King Center,N/A,Not Available
Wade King Center,N/A,Bus Stop (Fairhaven),N/A,Not Available
Wade King Center,N/A,Bus Stop (Downtown),N/A,Not Available
Wade King Center,N/A,Parking Lot 19G,N/A,Not Available
Bond Hall ,Main Entrance,Parking Lot LZ,N/A,"Exit the vehicle and exit the parking lok by walking towards the rear of the vehicle. Facing College Hall, turn left passing the bike racks and two trees on the left of the path. The bricks here are uneven. Bond Hall will be in front of you to the left. Turn left so that Bond Hall is to your right. Turn right with the edge of the building and continue straight. You will pass two sets of doors before coming to the main entrance. There are three doors to this entrance. The push button for automatic door for automatic door is on the right, next to a key fob lock, and opens the rightmost door."
Bond Hall ,Side Entrance,Parking Lot LZ,N/A,"Exit the vehicle and exit the parking lok by walking towards the rear of the vehicle.. Facing College Hall, turn left passing the bike racks and two trees on the left of the path. The bricks here are uneven. Bond Hall will be in front of you to the left. Turn left so that Bond Hall is to your right. Turn right with the edge of the building and continue straight. Continue on past the main entrance, and pass two more sets of double doors. Turn right at the edge of the wall and ten feet forward is another accessible entrance. You will pass a ballot drop box on the right and a pillar to the left. The push button for automatic door for automatic door is under a key fob lock on the right."
Bond Hall ,Main Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp and turn left. You will pass two sets of doors before coming to the main entrance. There are three doors to this entrance. The push button for automatic door for automatic door is on the right, next to a key fob lock, and opens the rightmost door"
Bond Hall ,Side Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp and turn leftContinue past the main entrance, pass two more sets of double doors turn right, and ten feet forward is another accessible entrance. You will pass a ballot drop box on the right and a pillar to the left. The push button for automatic door for automatic door is under a key fob lock on the right"
Haggard Hall ,High Street Entrance,Parking Lot LZ,N/A,"Exit the vehicle and exit the parking lot by walking towards the rear of the vehicle. Turn right and follow it with the grass on your right, College Hall will be to your left and Haggard Hall will be to your right, pass a dumpster to your right and notice a parking area, also to your right. Turn right and go towards Haggard Hall through the parking area, there are stairs to your left. Turn left then immediately right so that Haggard Hall is on your right and you’re under the awning of Haggard Hall. Pass two fire doors to your right then come to the entrance, also to your right. There are railings on either side and the push button for automatic door for automatic door is to the left on a pillar."
Haggard Hall ,Red Square Entrance,Parking Lot LZ,N/A,"Exit the vehicle and exit the parking lok by walking towards the rear of the vehicle. turn left and follow the brick path. It will be uneven you’ll pass a bike rack and two trees to your left. After the last tree, turn to the left. Bond Hall will be to your right and there will be four bike racks to your left. At the corner of Bond Hall, after the fourth bike rack, turn to the left. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hall. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar, before going up a new ramp, turn to the left. The entrance is in front of you with railings on either side and an accessible button is to your right on a pillar"
Haggard Hall ,Main Entrance,Parking Lot LZ,N/A,"Exit the parking lot to the road you just came in on turn left and follow the brick path. It will be uneven you’ll pass a bike rack and two trees to your left. After the last tree, turn to the left. Bond Hall will be to your right and there will be four bike racks to your left. At the corner of Bond Hall, after the fourth bike rack, turn to the left. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and an upwards ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. The entrance is located underneath the bridge between Haggard Hall, which is to your left, and Wilson Library, which is to your right. Under the bridge, the entrance is to your left and the accessible push button for automatic door for automatic door is on a pillar to the right"
Haggard Hall ,High Street Entrance,Downtown Bus Stop,N/A,"Exiting the bus turn immediately left following the sidewalk. There is a concrete planter in front of you which borders the sidewalk on the right side. When you reach the planter, turn to the right. the slope will take you uphill towards Haggard Hall. When you reach the awning of Haggard Hall turn to the right, past a set of trash cans and two pillars to the right. The door is to your left, and the accessible button is to the left on a pillar"
Haggard Hall ,Main Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. The entrance is under the bridge between Wilson Library to your left and Haggard Hall to your right. The entrance will be to your right in the middle of this bridge. The accessible push button for automatic door for automatic door is to your right on a pillar."
Haggard Hall ,Red Square Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. The first door to the right has an accessible button, which is also to the right."
Humanities,Main Entrance,Parking Lot 10G,N/A,"Exit the parking lot so that you’re facing Miller Hall and the blue bicycle racks. Fraser Hall will be to your right. Follow the space between Fraser Hall and the blue bicycle racks, keeping Fraser Hall to your right so that Miller Hall is passing to your left. You’ll pass an iron statue to your right as you enter Red Square. Continue straight, passing a concrete planter box with a sign saying “Fraser Hall” on it, turn right onto a brick path with grass on either side. Facing Old Main, the Humanities building is to your left. The door is under an awning between Fraser Hall, and Humanities building. The push button for automatic door for automatic door is to the right of the door on the concrete wall."
Humanities,Back Entrance,Parking Lot 10G,N/A,"Exit the parking lot so that you’re facing Miller Hall and the blue bicycle racks. Fraser Hall will be to your right. Follow the space between Fraser Hall and the blue bicycle racks, keeping Fraser Hall to your right so that Miller Hall is passing to your left. You’ll pass an iron statue to your right as you enter Red Square. Continue straight, passing a concrete planter box with a sign saying Fraser Hall on it, turn right onto a brick path with grass on either side. Continue straight, walking down the brick pathway under an awning that passes between the humanities building, which is on your left and Fraser Hall on your right. When you come to the corner of the humanities building, turn left and continue on the path you will pass two doors before coming to the main entrance, which has an accessibility button on a column to your left"
Humanities ,Back Entrance,Fairhaven Bus Stop,N/A,"After exiting the bus turn left immediately then you’ll make another left as a concrete slips down and make your way to the crosswalk. This crosswalk does not have yellow, tactile bumps on the side of the crosswalk. On this side, it has metal pillars, indicating the edge. Cross the street and head up the ramp keeping to the right as you go around a planted area with a large tree. Continue straight on the brick path, and, you’ll meet another path which has bricks oriented a different direction, cross his path and continues straight passing Wilson library on your right and green space to your left. You will pass the front entrance of the library which to your right as well as a bike rack. Continuing straight on the path, Old Main will be on the left and Humanities Building will be on your right. You are now in the plaza of the rose garden. There are rose bushes planted around the bricks, which is uneven, and a statue in the middle. Go around the statue and continue straight through the plaza. Ahead of you there is a ramp to your left and stairs to the right. Go up to the ramp and pass by two planters on the left and a trash area on the right. Turn right and Fraser Hall will be on the left. At the corner turn right again- the humanities building will be on your left. There will be two doors before reaching the main entrance with an accessibility button on a pillar to the left."
Humanities,Main Entrance,Fairhaven Bus Stop,N/A,"After exiting the bus turn left immediately then you’ll make another left as a concrete slips down and make your way to the crosswalk. This crosswalk does not have yellow, tactile bumps on the side of the crosswalk. On this side, it has metal pillars, indicating the edge. Cross the street and head up the ramp keeping to the right as you go around a planted area with a large tree. Continue straight on the brick path, and, you’ll meet another path which has bricks oriented a different direction, cross his path and continues straight passing Wilson library on your right and green space to your left. You will pass the front entrance of the library which to your right as well as a bike rack. Continuing straight on the path, Old Main will be on the left and Humanities Building will be on your right. You are now in the plaza of the rose garden. There are rose bushes planted around the bricks, which is uneven, and a statue in the middle. Go around the statue and continue straight through the plaza. Ahead of you there is a ramp to your left and stairs to the right. Go up to the ramp and pass by two planters on the left and a trash area on the right. Turn right and Fraser Hall will be on the left. Continue straight, so that you are under an awning which spans between the two buildings. The entrance is to your right and the push button for automatic door for automatic door is on the concrete wall to the right."
Parking Lot LZ,N/A,Bond Hall ,Main Entrance,"Turn left after exiting the doors and continue straight, passing two sets of doors to the left. Turn left at the corner of Bond Hall, facing Carver gym. At the corner of Bond Hall there will be an intersection with another brick path. Turn right, and continue straight, passing the bike racks and two trees on your right. At the end of the bike racks, the parking lot will be to your right."
Parking Lot LZ,N/A,Bond Hall ,Side Entrance,"Exit the doors and walk forward so that you pass the ballot drop box to your left. At the corner of the wall, turn left and continue straight. You will pass two sets of double doors, then the main entrance, then another two sets of double doors before coming to the edge of Bond Hall. Turn left at the corner of Bond Hall, facing Carver gym. At the corner of Bond Hall there will be an intersection with another brick path. Turn right, and continue straight, passing the bike racks and two trees on your right. At the end of the bike racks, the parking lot will be to your right."
Parking Lot LZ,N/A,Haggard Hall ,High Street Entrance,"After exiting the doors, turn left and follow the edge of the building under the awning. You will pass two fire doors on the left, before exiting the awning and coming to the edge of the building. Keep to the left to avoid two stairs on your right, and walk uphill, passing a parking area to a brick road. Turn left so that College Hall is to your right and continue straight following the road. You will pass a dumpster to your left as you exit the parking area, then grass will be on your left as the road veers right. At the edge of the grass will be the desired parking area"
Parking Lot LZ,N/A,Haggard Hall ,Red Square Entrance,"After exiting the building, continue straight until you reach the stairs. Turn right and pass four pillars before coming to a ramp. Continue up the ramp and exit, turning left then right. Bond hall will be to your left. Continue straight, passing four bike racks to your right and Bond Hall on the left. At the corner of Bond Hall there will be an intersection with another brick path. Turn right, and continue straight, passing the bike racks and two trees on your right. At the end of the bike racks, the parking lot will be to your right"
Parking Lot LZ,N/A,Haggard Hall ,Main Entrance,"Turn right after exiting the building so that Haggard Hall is to your right and Wilson Library is to your left. Continue straight until you reach the stairs in front of you. Turn right and go up the ramp, which does not have a railing, so that you are under the awning of Haggard Hall. Continue straight, Passing an Entrance to Haggard hall to your right and a set of Pillars to your left. After the fourth pillar, turn left, then right, so that you are facing a ramp. Continue up the ramp and exit, turning left then right. Bond hall will be to your left. Continue straight, passing four bike racks to your right and Bond Hall on the left. At the corner of Bond Hall there will be an intersection with another brick path. Turn right, and continue straight, passing the bike racks and two trees on your right. At the end of the bike racks, the parking lot will be to your right"
Downtown Bus Stop,N/A,Bond Hall ,Main Entrance,"Turn left after exiting the doors so that you follow the edge of Bond Hall to the left. Pass two sets of double doors and continue straight, leaving the edge of Bond Hall, towards Haggard Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and a ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Bond Hall ,Side Entrance,"Exit the doors and walk forward so that you pass the ballot drop box to your left. At the corner of the wall, turn left and continue straight. You will pass two sets of double doors, then the main entrance, then another two sets of double doors before coming to the edge of Bond Hall. There is a quarter wall in front of you. turn to the right and follow a ramp with railings on either side down to the door level of Haggard Hal. Continue straight, passing four pillars, with stairs to the right and passing a bench as well. After the fourth pillar turn left, and then right, so that you continue past the entrance to Haggard Hall on your left, and an upwards ramp on your right, continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Haggard Hall ,High Street Entrance,"Turn right after exiting the building, walking under the awning of Haggard Hall passing a set of trash cans and pillars to the left. At the second pillar, before the stairs, turn left and continue straight down a ramp. There will be a concrete plater to your right and the bus stop is in front of you."
Downtown Bus Stop,N/A,Bond Hall ,Main Entrance,"Turn left after exiting the building. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Haggard Hall ,Red Square Entrance,"Turn left after exiting the building. Continue straight down a ramp with no railings onto the brick path. Turn left and continue straight. You will pass under a sky bridge which connects Haggard Hall which is to your left, and Wilson Library to your right. Keep left, passing a set of planters in the path to the right. Continue downhill towards the road, over brick, then asphalt. There is a concrete planter to your left, at the edge, entering the sidewalk, turn left. The bus stop is immediately to your left after the planter."
Downtown Bus Stop,N/A,Humanities ,Main Entrance,"Turn right after exiting the building. Pass two doors to the right before turning left facing Old Main. Go straight, down the ramp, passing two planters on the right and a trash area to the left, then turn left and continue straight, down the ramp. Ahead of you there is a plaza with rose bushes around the edge and a statue in the middle, Old Main is to your right and the Hummanities buildining is to the left. Continue straight across the plaza, around the statue and on to a path which intersects with another path. Continue straight on the path that you are currently on, passing Wilson Library to the left and grass to the right. Part of the path will veer to the right. Pass this area and continue straight so that you are teh same distance from the Wilson Library. You will come to a sidewalk along side High Street. Turn left and follow this sidewalk. It will go under the awning of Wilson Library and a railing will start to your right. At the corner, follow the path turning to the left. At the end of the railing, there will be a pillar and the entrance to the Disability Access Center will be to your left. Turn right, then walk across the path, passing a concrete planter box to your left. High street will be on your right and the bus stop is in front of you."
Downtown Bus Stop,N/A,Humanities,Back Entrance,"Turn left after exiting the building and so that you are facing Old Main and Fraser Hall is to your right. Go straight, down the ramp, passing two planters on the right and a trash area to the left, then turn left and continue straight, down the ramp. Ahead of you there is a plaza with rose bushes around the edge and a statue in the middle, Old Main is to your right and the Hummanities buildining is to the left. Continue straight across the plaza, around the statue and on to a path which intersects with another path. Continue straight on the path that you are currently on, passing Wilson Library to the left and grass to the right. Part of the path will veer to the right. Pass this area and continue straight so that you are teh same distance from the Wilson Library. You will come to a sidewalk along side High Street. Turn left and follow this sidewalk. It will go under the awning of Wilson Library and a railing will start to your right. At the corner, follow the path turning to the left. At the end of the railing, there will be a pillar and the entrance to the Disability Access Center will be to your left. Turn right, then walk across the path, passing a concrete planter box to your left. High street will be on your right and the bus stop is in front of you."
Parking Lot 10G,N/A,Humanities ,Main Entrance,"Turn right after exiting, so that Fraser Hall is to your left and you are Facing Red Square. Go straight, grass will be on either side of this path. When the grass ends, turn left, so that you are facing Miller Hall and pass a concrete planter box with “Fraser Hall” written on it on the left as well as a statue. At the statue, turn left. Fraser Hall will be to your left now, and the parking lot will be in front of you."
Parking Lot 10G,N/A,Humanities,Back Entrance,"Turn Right after exiting, facing Fraser Hall. Walk straight, passing two doors, before coming to the corner of the Humanities building. Turn right, so that Fraser Hall is to your left and you are Facing Red Square. Go straight, grass will be on either side of this path. When the grass ends, turn left, so that you are facing Miller Hall and pass a concrete planter box with “Fraser Hall” written on it on the left as well as a statue. At the statue, turn left. Fraser Hall will be to your left now, and the parking lot will be in front of you."
Carver Gym,North Entrance,Parking Lot LZ,N/A,"Exit the parking lot on the road to the left, so you are going towards Carver Hall. The brick is uneven on the path. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. At the edge of the grass, turn right and walk straight towards the building. The entrance is along the left brick wall, and the access button is on the pillar to the left."
Carver Gym,Garden Entrance,Parking Lot LZ,N/A,"Exit the parking lot on the road to the left, so you are going towards Carver Hall. The brick is uneven on the path. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. At the edge of the grass, turn right and walk straight towards the building. Continue straight, following the edge of the grass until you reach a concrete and wooden bench on your right. The brick will turn into long concrete strips. Turn left as you walk through a corridor. There is the glass wall of Carver to your left and the brick wall to your right. Continue straight, and at the end of the corridor is the entrance. The push button for automatic door for automatic door is on the pillar to the left."
Carver Gym,Main Entrance,Parking Lot LZ,N/A,"Exit the parking lot on the road to the left, so you are going towards Carver Hall. The brick is uneven on the path. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. You will pass the first set of double doors with the ticket booth to your right. The second set of double doors has an access button to the left on a pillar."
Carver Gym,South Entrance,Parking Lot LZ,N/A,"Exit the parking lot on the road to the left, so you are going towards Carver Hall. The brick is uneven on the path. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. You will pass the first set of double doors with the ticket booth to your right. Continue past two sets of quad doors, back onto the brick path, and continue straight towards the SMATE building. There will be grass to the left of the path and a green space to the right. There will be a small brick path on your right. Turn right onto the path and continue straight. You will pass two wooden benches at the second bench turn right and the entrance push button for automatic door for automatic door is on the left."
Carver Gym,South Entrance,Parking 9G,N/A,"From the ramp at the left of the parking lot, looking at the SMATE building, continue straight onto a brick path that passes a rock wall with trees in front of it to the left and the SMATE building to the right. Passing the SMATE building to your right, in front of you is the Carver building. The entrance is in front of you after a small bush to your left. The push button for automatic door for automatic door is on the pillar to the left."
Carver Gym,North Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. At the edge of the grass, turn right and walk straight towards the building. The entrance is along the left brick wall, and the access button is on the pillar to the left."
Carver Gym,Garden Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. At the edge of the grass, turn right and walk straight towards the building. Continue straight, following the edge of the grass until you reach a concrete and wooden bench on your right. The brick will turn into long concrete strips. Turn left as you walk through a corridor. There is the glass wall of Carver to your left and the brick wall to your right. Continue straight, and at the end of the corridor is the entrance. The push button for automatic door for automatic door is on the pillar to the left."
Carver Gym,Main Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. You will pass the first set of double doors with the ticket booth to your right. The second set of double doors has an access button to the left on a pillar"
Carver Gym,South Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. You will pass the first set of double doors with the ticket booth to your right. Continue past two sets of quad doors, back onto the brick path, and continue straight towards the SMATE building. There will be grass to the left of the path and a green space to the right. There will be a small brick path on your right. Turn right onto the path and continue straight. You will pass two wooden benches at the second bench turn right and the entrance push button for automatic door for automatic door is on the left."
SMATE ,Main Entrance,Parking Lot 9G,N/A,"The entrance is directly in front of the parking lot. Follow the concrete path to the entrance, the push button for automatic door for automatic door is on a pillar to the right."
SMATE ,Side Entrance,Parking Lot 9G,N/A,"From the ramp at the left of the parking lot, looking at the state building continue straight onto a brick path that passes a rock wall with trees in front of it to the left and the SMATE building to the right. There will be a staircase to your right, at this staircase turn right, and the entrance with a push button for automatic door for automatic door is in front of you. The button is on a pillar to the right."
SMATE ,Main Entrance,Downtown Bus Stop,N/A,"Turn left immediately after exiting the bus and notice a concrete planter on your right. Turn right at the edge of the planter. Continue uphill, over asphalt, and then brick. There are three trees in planters going across the path, if you keep right, they should remain to your left. Haggard Hall will be to your right, and Wilson Library to your left. Pass under the bridge connecting the two buildings and past two light poles. Reaching the stairs, there is a ramp immediately to your right, you will go under the awning of Haggard Hall and pass four support beams to your left. After the fourth, there is a ramp with a railing on either side ahead of you and to the left. There are also stairs immediately to the left as well as ahead of you. Continue up the ramp, then exit the ramp at the top by turning left then right. Walk straight, towards Carver Gym with Bond Hall to your left. At the edge of bond hall, turn left. To the left is Bond Hall and on your right, you’ll pass a hedge and a green space. Continue straight across an empty stretch of brick and an entrance to Carver to your right then there will be a green space to your right. Follow the edge of the grass, passing three light poles to the right and the entrance to red Square to your left. At the corner, turn right so that Carver is to your right. You will pass the first set of double doors with the ticket booth to your right. Continue past two sets of quad doors, back onto the brick path, and continue straight towards the SMATE building. There will be grass to the left of the path and a green space to the right. There will be a small brick path on your right. Turn right onto the path and continue straight. You will pass two wooden benches at the second bench turn left and continue straight. You will pass the green space on the left, then the SMATE building to the left flanked by a rock wall on the right. Passing the SMATE building wall, grass will begin on the left. At the corner of the grass, turn left, and then make another left. The entrance is in front of you."
